Nº,Categoria,Entidad,Email,Telefono,Web_o_Portal,Cordoba,Prioridad,Estado,Ultimo_contacto,Notas,Proximo_paso
13,Obra Social,Sanidad (OSPSA / FATSA),info@sanidad.org.ar,0800-999-7264,sanidad.org.ar/ospsa,Media,P2,Enviado,2026-07-21,Sin respuesta; tiene Portal de Prestadores,Recontactar
14,Gestora,Geanet,info@geanet.com.ar,,geanet.com.ar,Baja,P3,Respondió,2026-09-23,Sin respuesta; derivó la propuesta al área (23/09),Esperar contacto del área derivado
15,Prepaga,Sanos,info@sanos.com.ar,,sanos.com.ar,Fuerte,P2,Enviado (recontacto 23/09),2026-09-23,Sin respuesta,Esperar respuesta / seguimiento 7-10 días
16,Prepaga,PREME,preme@preme.com.ar,,preme.com.ar,Media,P3,Enviado (recontacto 23/09),2026-09-23,Sin respuesta,Esperar respuesta / seguimiento 7-10 días
17,Prepaga,Federada Salud,ynavarro@federada.com,0810-888-8767,federada.com/contacto,Media,P2,Rechazado (por ahora),2026-07-22,Cartera de oftalmologia completa en la zona,Reintentar mas adelante
18,Obra Social/Red,Cooperativa Red (coop5/aclinor),aclinor@coop5.com.ar,,coop5.com.ar,Media,P3,Rechazado,2026-08-12,Comision directiva decidio no incorporar,-
19,Camara,CES - Camara de Entidades de Salud Cba,prestadores@cescordoba.com.ar,,cescordoba.com.ar,Fuerte,P1,Rechazado (por ahora),2026-09-24,Sin cierre; no incorporan prestadores en la ciudad (Laura Manfreda int 420),Reintentar más adelante
20,Camara,ACLISA (Asoc. Clinicas Cba),info@aclisa.org.ar,,aclisa.org.ar,Fuerte,P2,Respondio,2026-07-06,Agrupa 45 instituciones; informo su rol,Evaluar adhesion
21,Colegio/Consejo,CPCE Cordoba (Cs Economicas),cpcecba@cpcecba.org.ar,0351-468-8300,cpcecba.org.ar,Fuerte,P2,Enviado (recontacto 23/09),2026-09-23,Sin respuesta; matriculados via prepagas,Esperar respuesta / seguimiento 7-10 días
22,Caja profesional,Caja de Abogados Cordoba,serviciomedico@caja-abogados.org.ar,0351-423-5900,caja-abogados.org.ar,Fuerte,P2,Rechazado (por ahora),2026-09-24,Sin respuesta; alt: informacion@caja-abogados.org.ar; no incorporan esta especialidad; guardan propuesta,Reintentar más adelante
23,Sindicato,UEPC (docentes provinciales),saludymat@uepc.org.ar,0351-410-1400,uepc.org.ar,Fuerte,P1,Enviado (recontacto 23/09),2026-09-23,Sin respuesta; afiliados APROSS; alt: secgral@uepc.org.ar,Esperar respuesta / seguimiento 7-10 días
24,Sindicato,UTHGRA Cordoba (gastronomicos),info@uthgracba.org.ar,0351-570-4431,uthgracba.org.ar,Fuerte,P1,Enviado (recontacto 23/09),2026-09-23,Sin respuesta; OBRA SOCIAL PROPIA (OSUTHGRA),Esperar respuesta / seguimiento 7-10 días
25,Obra Social,OSSSB (Bancaria),lumassetti@osssb.com.ar,0800-222-3462,osssb.com,Media,P3,Enviado,2026-07-08,Enviado a atbeneficiario@osssb.com.ar; sin respuesta,Recontactar
26,Otro,Vinculacion (institucional.gsalud),institucional.gsalud@gmail.com,,,-,P3,Enviado,2026-07-06,Vinculacion institucional,Recontactar
27,Obra Social,SIPSSA,mmarconetto@sipssa.com.ar,,sipssa.com.ar,Baja,P3,Email invalido (bounce),2026-07-21,Direccion inexistente,Conseguir email valido
28,Otro,CEPSAL,informes@cepsal.org,,,Baja,P3,Email invalido (bounce),2026-07-08,Dominio inexistente,Conseguir email valido
29,Colegio,CMVM (Circulo Medico),cmvm@arnet.com.ar,,,Media,P3,Email invalido (bounce),2026-07-08,Direccion inexistente,Conseguir email valido
30,Prepaga,Griff Salud,info@griffsalud.com,,,Baja,P3,Email invalido (bounce),2026-07-06,Dominio inexistente,Conseguir email valido
31,Prepaga,OSDE,a relevar,,cvprest.osde.com.ar,Fuerte,P1,Sin contactar,,"Postulacion via portal CV Prestadores; alta por PORTAL cvprest.osde.com.ar (formulario, no email); filial Cordoba (buscador sucursales)",Cargar alta en portal cvprest.osde.com.ar (no toma email)
32,Prepaga,Swiss Medical,contratacionesinterior@swissmedical.com.ar,0810-333-7737,swissmedical.com.ar/prestadores,Fuerte,P1,Enviado (24/09),2026-09-24,Email de contrataciones INTERIOR/Cordoba (verificado),Esperar respuesta
33,Prepaga,Medife,atencionalprestador@medife.com.ar,0810-345-2299,medife.com.ar,Fuerte,P1,Borrador (a revisar),2026-09-24,Canal de convenios verificado; convenios@medife.com.ar bloqueó el mensaje (550); canal OFICIAL: formulario 'Quiero ser prestador' medife.com.ar/contacto/quiero-ser-prestador; borrador a atencionalprestador@ como intento,Enviar borrador y/o cargar formulario web
34,Prepaga,Omint,cgp@omint.com.ar,0810-222-5155,prestadores.omint.com.ar,Media,P2,Enviado (24/09),2026-09-24,Centro de Gestion de Prestadores; casilla CGP es solo facturación; buscar área de convenios,Buscar canal de convenios
35,Prepaga,Medicus,prestadores@medicus.com.ar,4129-5300,medicus.com.ar,Baja,P3,Sin contactar,,Fuerte en AMBA; baja en Cba,Enviar propuesta
36,Prepaga,Avalian (ex ACA Salud),consultasweb@acasalud.com.ar,0341-420-8752,avalian.com/contactos,Fuerte,P1,Email inválido (bounce),2026-09-24,Confirmar canal de prestadores; consultasweb@acasalud.com.ar inexistente (550); sin email de convenios publico; portal online.avalian.com/prestador/ingreso; tel 0810-222-72583; dominio @avalian.com,Cargar por portal de prestadores o llamar 0810-222-72583
37,Prepaga,Jerarquicos Salud,prestadores@jerarquicos.com,0800-888-5040,jerarquicos.com/prestadores,Fuerte,P1,Enviado (24/09),2026-09-24,Linea exclusiva prestadores (verificado),Esperar respuesta
38,Prepaga,Prevencion Salud,prestadores@prevencionsalud.com.ar,0810-555-1055 / 0800-7777-72583,prevencionsalud.com.ar/contacto,Fuerte,P1,Enviado (24/09),2026-09-24,Grupo Sancor; linea prestadores; email a relevar; email prestadores@prevencionsalud.com.ar (Grupo Sancor Seguros); pedir derivacion a Convenios,Esperar respuesta
39,Prepaga,Accord Salud,a relevar,0810-888-0500 (Aten. Prestador) / 0810-888-2226,accordsalud.com.ar,Media,P2,Sin contactar,,Centro de Atencion a Prestadores; Centro de Atencion al Prestador 0810-888-0500; portal prestadores; email a confirmar (dominio @accordsalud.com.ar),"Llamar 0810-888-0500 para confirmar email de Convenios, luego borrador"
40,Prepaga,Hominis,prestaciones@hominis.com.ar,4860-1900,hominis.com.ar/prestadores-hominis,Baja,P3,Sin contactar,,Canal de prestaciones,Enviar propuesta
41,Prepaga,Luis Pasteur,a relevar,011-4370-1000,oslpasteur.com.ar,Baja,P3,Sin contactar,,Contrataciones int. 263/270,Llamar
42,Prepaga,Premedic,a relevar,0810-222-5522,premedicmedicinaprivada.com.ar,Baja,P3,Sin contactar,,Email a relevar,Formulario
43,Prepaga,William Hope,a relevar,0800-333-94673,whope.com.ar/soy_prestador,Baja,P3,Sin contactar,,Form Soy Prestador,Formulario
44,Prepaga,Bristol Medicine,a relevar,0800-444-0453,bristolmedicine.com.ar,Baja,P3,Sin contactar,,Email a relevar,Formulario
45,Obra Social,OSECAC (comercio),a relevar,0800-666-0400,osecac.org.ar/ContactoPagina,Fuerte,P1,Sin contactar,,Sin email de prestadores; via Centros de Gestion; PORTAL prestadores.osecac.org.ar (registro); delegacion Cordoba via buscador; gral 0800-666-0400,Registrarse en portal + pedir email de Prestadores a delegacion Cordoba
46,Obra Social,OSPRERA (rural),consultas@osprera.org.ar,0351-452-6298,osprera.org.ar,Media,P2,Enviado (24/09),2026-09-24,Red Cba gerenciada (TAC + Colegio Medico); sede Cba,Esperar respuesta
47,Obra Social,OSPE (petroleros),obrasocial@ospe.org.ar,0800-444-6773,ospe.ar,Media,P2,Enviado (24/09),2026-09-24,Facturacion prestadores: facturaciones@ospe.org.ar,Esperar respuesta
48,Obra Social,OSPIM (maderera),contacto@ospim.com.ar,0800-666-7746,ospim.com.ar,Baja,P3,Sin contactar,,Canal general,Enviar propuesta
49,Obra Social,OSMATA (mecanicos SMATA),a relevar,011-4340-7400,osmata.com.ar/prestadores-externos,Media,P2,Sin contactar,,Alta via formulario Prestadores externos,Formulario
50,Obra Social,UTA / OSCTCP (transporte),oficios_osctcp@uta.org.ar,4011-5123,obrasocialuta.com.ar,Media,P2,Enviado (24/09),2026-09-24,Sin email especifico de prestadores,Esperar respuesta
51,Obra Social,OSPeDYC (deportivas/civiles),a relevar,0800-345-6773,ospedycdirecto.org.ar,Baja,P3,Sin contactar,,Portal prestadores ospedycdirecto.org.ar,Portal
52,Obra Social,OSPIC (cinematografica SICA),ospic@sicacine.org.ar,011-4808-0106,ospic.org.ar,Baja,P3,Sin contactar,,,Enviar propuesta
53,Obra Social,OSPIQYP (quimicos),a relevar,,ospiqyp.org.ar,Baja,P3,Sin contactar,,En concurso preventivo; sin canal publicado,Relevar
54,Obra Social,OSFATUN (universitarios nodocentes),a relevar,0800-666-5173,osfatun.com.ar/contacto,Media,P3,Sin contactar,,Area Facturacion Prestadores (emails ofuscados),Relevar canal
55,Obra Social,OSDOP (docentes particulares SADOP),coordinacion.cordoba@osdop.org.ar,351 4470987,osdop.org.ar,Media,P2,Borrador (a revisar),2026-09-24,Red regional gerenciada (SERVIRED); ccpba@osdop.org.ar inexistente (550); deleg. Cordoba coordinacion.cordoba@osdop.org.ar (verificado); nacional 0810-345-2527,Revisar borrador y enviar
56,Obra Social,OSPACA (Automovil Club),informes@ospaca.com,0800-999-6772,ospaca.com,Baja,P3,Sin contactar,,Prestadores bajo convenio ACA,Enviar propuesta
57,Obra Social,OSJERA / OSPJERA (agua y energia),a relevar,,osjera.com.ar,Baja,P3,Sin contactar,,Prestadores via Federacion Medica,Relevar
58,Obra Social,OSPM (maritimo SOMU),reclamos@ospm.com.ar,0810-777-2571,prestadores.ospm.org.ar,Baja,P3,Sin contactar,,Portal de prestadores,Portal
59,Obra Social,OSSEG (seguros),informacion@osseg.org.ar,011-4131-2000,osseg.org.ar,Baja,P3,Sin contactar,,Prestadores por delegacion,Enviar propuesta
60,Obra Social,OSPAT (turf),gestionadministrativa@ospat.com.ar,0800-999-1656,ospat.com.ar,Baja,P3,Sin contactar,,Portal de Gestion de Prestadores,Enviar propuesta
61,Obra Social,ANDAR,a relevar,0341-277-1988,andar.org.ar,Baja,P3,Sin contactar,,Sede Rosario; delegaciones con gmail comerciales,Relevar
62,Obra Social,ASSPE (empresarios/direccion),a relevar,0800-345-7332,asspesalud.com.ar,Baja,P3,Sin contactar,,Red gerenciada por FideiSalud,Relevar
63,Obra Social,OSDEPYM,liquidacionescentro@osdepym.com.ar,0800-288-7963,osdepym.com.ar,Media,P2,Enviado (24/09),2026-09-24,Red Cba gerenciada por VISITAR; sede Cba consultascordoba@osdepym.com.ar; auto-respuesta facturación (deriva a OSTVLA),Esperar / verificar área de convenios
64,Gerenciadora,VISITAR (red Cordoba),a relevar,,visitar.com.ar,Fuerte,P2,Sin contactar,,Administra red en Cba para OSDEPYM y otras OOSS/prepagas,Contactar (puerta a varias OOSS)
65,Obra Social,OSFE (ferroviaria),contactese@osferroviaria.org.ar,,osfe.org.ar,Baja,P3,Sin contactar,,Afiliaciones: postulate@osferroviaria.org.ar,Enviar propuesta
66,Obra Social,OSPIT (textil),consultas@ospit.org.ar,011-3987-1650,ospit.org.ar,Baja,P3,Sin contactar,,,Enviar propuesta
67,Obra Social,OSTV (viales),info@vialsalud.com.ar,,ostv.com.ar,Baja,P3,Sin contactar,,Red gerenciada por ROI S.A./VialSalud,Enviar a VialSalud
68,Obra Social,Pasteleros,a relevar,0800-333-0001,pasteleros.org/convenios,Baja,P3,Sin contactar,,Area Convenios y Escalas (email ofuscado),Relevar canal
69,Obra Social,OSPIA (alimentacion STIA),ospiacentral@ospia.org.ar,011-4383-9026,ospia.org.ar/prestadores,Baja,P3,Sin contactar,,Seccion Prestadores en el sitio,Enviar propuesta
70,Obra Social,ADMED,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
71,Obra Social,AOTRA,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
72,Obra Social,APM,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
73,Obra Social,Conexion Salud,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
74,Obra Social,Ensalud,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
75,Obra Social,Fedeisalud,a relevar,,fideisalud.com.ar,Baja,P3,Sin contactar,,Gerenciadora (red de ASSPE y otras),Relevar
76,Obra Social,Global Empresaria,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
77,Obra Social,Ladrilleros (OSPIL),a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
78,Obra Social,Mosaistas,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
79,Obra Social,OS Escribanos,a relevar,,,Media,P3,Sin contactar,,En lista Gerenciar,Relevar
80,Obra Social,OSA (Actores),a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
81,Obra Social,OSA (Aeronavegantes),a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
82,Obra Social,OSADEF,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
83,Obra Social,OSCE,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
84,Obra Social,OSEIV,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
85,Obra Social,OSETYA,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
86,Obra Social,OSMISS,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
87,Obra Social,OSMITA,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
88,Obra Social,OSOSS,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
89,Obra Social,OSPATCA,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
90,Obra Social,OSPFESIQYP,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
91,Obra Social,OSPIDA,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
92,Obra Social,OSPNJ,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
93,Obra Social,OSPOCE,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
94,Obra Social,OSRJA,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
95,Obra Social,OSTVENDRA,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
96,Obra Social,RAS,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
97,Obra Social,ROISA,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar (gerenciadora ROI S.A.),Relevar
98,Obra Social,Salud Industrial,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
99,Sindicato,UOM Cordoba (metalurgicos),accionsocial@uomcordoba.org.ar,0351-425-7474,uomcordoba.org.ar,Fuerte,P1,Enviado (23/09),2026-09-23,OBRA SOCIAL PROPIA (OSUOMRA) + centro medico; afiliaciones@uomcordoba.org.ar,Esperar respuesta / seguimiento 7-10 días
100,Sindicato,Luz y Fuerza Cordoba,hablemos@osplyfc.com.ar,,luzyfuerzacordobaelectrum.com.ar,Fuerte,P1,Enviado (23/09),2026-09-23,OBRA SOCIAL PROPIA (OSPLYFC); sede Dean Funes 672; email OSPLYFC hablemos@osplyfc.com.ar (Centro de Atención),Esperar respuesta / seguimiento 7-10 días
101,Sindicato,SEP (empleados publicos Cba),a relevar,,sep.org.ar,Fuerte,P1,Sin contactar,,Afiliados APROSS; bateria de email lista,Enviar (Camino 1)
102,Sindicato,AGEPJ (judiciales Cba),a relevar,0351-428-2389,agepj.org.ar,Fuerte,P1,Sin contactar,,Afiliados APROSS; probable info@agepj.org.ar (sin confirmar),Relevar y enviar (Camino 1)
103,Sindicato,ATE Cordoba,prensa@atecordoba.org,0351-423-2748,atecordoba.org,Fuerte,P2,Sin contactar,,Cobertura a confirmar,Enviar
104,Sindicato,UPCN Cordoba,a relevar,0351-423-3244,upcndigital.org/cordoba,Fuerte,P2,Sin contactar,,APROSS / obra social UPCN,Relevar y enviar
105,Sindicato,SUOEM (municipales Cba),a relevar,0351-426-1364,suoemcordoba.com,Fuerte,P2,Sin contactar,,DAS (obra social Municipalidad de Cba),Relevar y enviar
106,Sindicato,AGEC (comercio Cba),a relevar,0351-423-6418,agec.com.ar,Fuerte,P2,Sin contactar,,Servicios propios (Sanagec) / OSECAC; sin email publicado verificable; Acción Social 0351 378-6475 / Control de Convenio int.113; WhatsApp 351 622-8532,Conseguir email por tel/formulario y enviar (Camino 2)
107,Sindicato,Camioneros Cordoba,amedicaosccptac@gmail.com,0351-447-8300,obrasocialcamioneroscba.com.ar,Fuerte,P2,Enviado (23/09),2026-09-23,OBRA SOCIAL PROPIA; OSCCPTAC Auditoría Médica amedicaosccptac@gmail.com; cc afiliaciones osccptac.afilia2@gmail.com,Esperar respuesta / seguimiento 7-10 días
108,Sindicato,Federacion de Jubilados Cba,a relevar,,pami.org.ar,Fuerte,P1,Sin contactar,,Afiliados PAMI; bateria de email lista,Enviar (Camino 1)
109,Camara,Camara de Comercio de Cordoba,recepcion@camcomcba.com.ar,0351-422-2570,camcomcba.com.ar,Fuerte,P2,Sin contactar,,Nuclea empresas (empleados via OSECAC/prepagas),Enviar (via afiliadas)
110,Camara,UIC - Union Industrial de Cordoba,info@uic.org.ar,0351-422-4353,uic.org.ar,Fuerte,P2,Sin contactar,,Nuclea empresas; direccionejecutiva@uic.org.ar,Enviar (via afiliadas)
111,Camara,CaCEC - Camara Comercio Exterior Cba,cacec@cacec.com.ar,0351-421-4804,cacec.com.ar,Fuerte,P3,Sin contactar,,Nuclea empresas,Enviar
112,Camara,Bolsa de Comercio de Cordoba,institucionales@bolsacba.com.ar,,bolsacba.com.ar,Fuerte,P3,Sin contactar,,Nuclea empresas,Enviar
113,Camara,CAMARCO Cordoba (construccion),a relevar,0351-468-4455,camarcocba.com.ar,Fuerte,P3,Sin contactar,,Nuclea empresas,Relevar y enviar
114,Colegio,Colegio de Escribanos de Cba,secretaria@escribanos.org.ar,0351-570-6500,escribanos.org.ar,Fuerte,P3,Sin contactar,,Matriculados via prepagas,Enviar
115,Colegio/Consejo,Consejo de Medicos de Cba (CMPC),consejomedico@cmpc.org.ar,0351-422-5004,cmpc.org.ar,Fuerte,P3,Sin contactar,,Matriculados via prepagas,Enviar
116,Colegio,Colegio de Abogados de Cba,a relevar,0351-422-0448,abogado.org.ar,Fuerte,P3,Sin contactar,,Distinto de la Caja (fila 22),Relevar y enviar
117,Caja profesional,Caja de Jubilaciones de Cba (provincial),a relevar,0810-122-2252,cajajubilaciones.cba.gov.ar,Fuerte,P3,Sin contactar,,Jubilados provinciales; APROSS,Relevar
118,ART,Prevencion ART,a relevar,,prevencionart.com.ar,Fuerte,P3,Sin contactar,,Grupo Sancor; accidentes oculares laborales,Relevar
119,ART,Asociart ART,a relevar,,asociart.com.ar,Media,P3,Sin contactar,,En lista Gerenciar,Relevar
120,ART,Experta ART,a relevar,,expertaart.com.ar,Media,P3,Sin contactar,,En lista Gerenciar,Relevar
121,ART,Provincia ART,a relevar,,provinciart.com.ar,Media,P3,Sin contactar,,En lista Gerenciar,Relevar
122,ART,San Cristobal,a relevar,,sancristobal.com.ar,Media,P3,Sin contactar,,En lista Gerenciar,Relevar
123,ART,Colonia Suiza ART,a relevar,,,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
124,ART,IAPSER ART (Entre Rios),a relevar,,iapser.gov.ar,Baja,P3,Sin contactar,,En lista Gerenciar,Relevar
125,Colegio,Colegio de Ingenieros Civiles de Cordoba,colegio@civiles.org.ar,0351-423-9130,civiles.org.ar,Fuerte,P2,Sin contactar,,matriculados,Enviar (borrador Camino 1/2)
126,Colegio,Colegio de Ingenieros Agronomos Cba (CIAPC),info@ciacordoba.org.ar,351-593-3015,ciacordoba.org.ar,Fuerte,P2,Sin contactar,,matriculados,Enviar (borrador Camino 1/2)
127,Colegio,Colegio de Ingenieros Especialistas Cba (CIEC),ciec@ciec.com.ar,0351-422-0081,ciec.com.ar,Fuerte,P2,Sin contactar,,matriculados,Enviar (borrador Camino 1/2)
128,Colegio,Colegio de Arquitectos de Cordoba,provincial@colegio-arquitectos.com.ar,0351-156-089128,colegio-arquitectos.com.ar,Fuerte,P2,Sin contactar,,matriculados,Enviar (borrador Camino 1/2)
129,Colegio,Colegio de Agrimensores de Cordoba,info@agrimcba.org.ar,0351-424-5544,agrimensorescordoba.org.ar,Fuerte,P3,Sin contactar,,matriculados,Enviar (borrador Camino 1/2)
130,Colegio,Colegio de Farmaceuticos Cba (COLFACOR),presidencia@colfacor.org.ar,0351-424-9511,colfacor.org.ar,Fuerte,P2,Sin contactar,,salud; matriculados,Enviar (borrador Camino 1/2)
131,Colegio,Colegio de Bioquimicos Cba (COBICO),cobico@cobico.com.ar,0351-423-1961,cobico.ar,Fuerte,P2,Sin contactar,,salud; matriculados,Enviar (borrador Camino 1/2)
132,Colegio,Colegio Odontologico Cba,colegioodontologico@colodontcba.org.ar,0351-422-4209,colodontcba.org.ar,Fuerte,P2,Sin contactar,,salud; matriculados,Enviar (borrador Camino 1/2)
133,Colegio,Colegio de Kinesiologos y Fisioterapeutas Cba,colegio@colkyfcba.org,0351-473-3158,colkyfcba.org,Fuerte,P2,Sin contactar,,salud; matriculados,Enviar (borrador Camino 1/2)
134,Colegio,Colegio de Psicologos Cba (CPPC),cppc@cppc.org.ar,0351-425-9637,cppc.org.ar,Fuerte,P2,Sin contactar,,matriculados,Enviar (borrador Camino 1/2)
135,Colegio,Colegio Medico Veterinario Cba,administracion@covetcba.com.ar,0351-452-1962,covetcba.com.ar,Fuerte,P3,Sin contactar,,matriculados,Enviar (borrador Camino 1/2)
136,Colegio,Colegio de Nutricionistas Cba (CNPC),informes@colegionut.com.ar,0351-424-0946,colegionut.com,Fuerte,P3,Sin contactar,,salud; matriculados,Enviar (borrador Camino 1/2)
137,Colegio,Colegio de Fonoaudiologia Cba (CPFC),info@cpfc.org.ar,0351-424-2507,cpfc.org.ar,Fuerte,P3,Sin contactar,,salud; matriculados,Enviar (borrador Camino 1/2)
138,Colegio,Colegio de Martilleros y Corredores Cba (CPMCP),sedecentral@cpmcp.org.ar,0351-426-2962,cpmcp.org.ar,Fuerte,P3,Sin contactar,,matriculados,Enviar (borrador Camino 1/2)
139,Colegio,Colegio de Corredores Inmobiliarios Cba (CPI),a relevar,0351-428-0674,cpicordoba.org.ar,Fuerte,P3,Sin contactar,,form web; WA 351-3023272,Relevar email y enviar
140,Colegio,Colegio de Traductores Publicos Cba (CTPPC),a relevar,0351-468-4622,ctppc.com.ar,Fuerte,P3,Sin contactar,,relevar por web/tel,Relevar email y enviar
141,Caja profesional,Caja Prevision Salud Profesionales Cba (CPSPS),afiliaciones@cajasaludcba.org,0351-410-6034,cajasalud.com.ar,Fuerte,P1,Sin contactar,,ALTO VALOR: nuclea profesionales de la salud; dominio emails @cajasaludcba.org; alt beneficios@cajasaludcba.org,Enviar (borrador Camino 1/2)
142,Caja profesional,Caja de Prevision Ley 8470 (Ing/Arq/Agrim/Constr) Cba,a relevar,0351-155-319758,caja8470.com.ar,Fuerte,P2,Sin contactar,,form web,Relevar email y enviar
143,Camara,Camara Industriales Metalurgicos Cba (CIMCC),info@metalurgicoscba.com.ar,0351-468-1832,metalurgicoscba.com.ar,Fuerte,P3,Sin contactar,,empresas; alt comunicacion@metalurgicoscba.com.ar,Enviar (borrador Camino 1/2)
144,Camara,Cordoba Technology Cluster,a relevar,0351-589-5550,cordobatechnology.com,Fuerte,P3,Sin contactar,,empresas TI; email no verificado,Relevar email y enviar
145,Camara,Asoc. Hotelera Gastronomica Cba (AEHGC/FEHGRA),asociacion@fehgracba.com,0351-421-7011,hotelesygastronomiacordoba.com,Fuerte,P3,Sin contactar,,empresas,Enviar (borrador Camino 1/2)
146,Camara,FEDECOM - Federacion Comercial de Cordoba,a relevar,,fedecom.org.ar,Fuerte,P3,Sin contactar,,nuclea camaras/comercios; relevar,Relevar email y enviar
147,Camara,CARTEZ (asociaciones rurales 3a zona),a relevar,,cartez.org.ar,Fuerte,P3,Sin contactar,,productores; relevar,Relevar email y enviar
148,Camara,Sociedad Rural de Cordoba,info@sociedadruralcordoba.org,,sociedadruralcordoba.org,Fuerte,P3,Sin contactar,,productores; Lima 469,Enviar (borrador Camino 1/2)
149,Camara,Camara de Turismo de Cordoba,camtucor@gmail.com,351-5326554,camaracbaturismo.org.ar,Fuerte,P3,Sin contactar,,empresas turismo,Enviar (borrador Camino 1/2)
150,Camara,FETAP (transporte de pasajeros) Cba,a relevar,0351-460-2903,fetapcordoba.com,Fuerte,P3,Sin contactar,,empresas transporte; relevar,Relevar email y enviar
